t:18.180000000000042 fi:1.008016232803789 vz:3.169119154946766 wy:1.1644303678799766 ngpu:4922.249408817834 k2:3992 k1:3992
t:18.210000000000047 fi:1.0054260383214169 vz:3.1457166001361245 wy:1.1535494851639203 ngpu:4828.672036522859 k2:3976 k1:3976
t:18.190000000000044 fi:1.000964784074555 vz:3.15236279785375 wy:1.1583246031640013 ngpu:4888.380936861055 k2:3984 k1:3984
t:18.250000000000053 fi:1.004660114453474 vz:3.1185371095301653 wy:1.1401537523346599 ngpu:4713.866402392432 k2:3956 k1:3956
t:18.330000000000066 fi:1.0109931481622842 vz:3.0760101471269836 wy:1.1167056201473997 ngpu:4513.570525120966 k2:3920 k1:3920
t:18.260000000000055 fi:1.006722778337994 vz:3.114999994220934 wy:1.1377028590065736 ngpu:4687.238211269982 k2:3952 k1:3952
t:18.280000000000058 fi:1.0014420395905559 vz:3.0945115527580875 wy:1.1291271681238442 ngpu:4633.497113115711 k2:3940 k1:3940
t:18.29000000000006 fi:1.00341111745134 vz:3.0908795316225546 wy:1.1266574079250253 ngpu:4608.532351588974 k2:3936 k1:3936
t:18.310000000000063 fi:1.0072609326495487 vz:3.083511190537619 wy:1.1216946261431295 ngpu:4560.09023165217 k2:3928 k1:3928
t:18.24000000000005 fi:1.0025678838946765 vz:3.122034947166696 wy:1.1425934261592372 ngpu:4741.034820352019 k2:3960 k1:3960
t:18.280000000000058 fi:1.0107593741528438 vz:3.1078120895206727 wy:1.132770717237605 ngpu:4635.563257348687 k2:3944 k1:3944
t:18.22000000000005 fi:1.0076123926606273 vz:3.142327221014141 wy:1.1511391408230869 ngpu:4799.699486580138 k2:3972 k1:3972
t:18.41000000000008 fi:1.006103843676643 vz:3.018729971606548 wy:1.089567296048477 ngpu:4343.184334893591 k2:3880 k1:3880
t:18.17000000000004 fi:1.0057061536180845 vz:3.172341583809922 wy:1.1667846268104924 ngpu:4953.760656724582 k2:3996 k1:3996
t:18.23000000000005 fi:1.009769164545565 vz:3.138895161438085 wy:1.1487148655593535 ngpu:4771.30079575269 k2:3968 k1:3968
t:18.23000000000005 fi:1.0004461056551561 vz:3.1254924443911674 wy:1.145021024212708 ngpu:4768.753466473348 k2:3964 k1:3964
